MM,DD,YYYY,Tmin,Tmax,Rhmin,Rhmax,Windspeed
9,12,2014,2.222222222,13.88888889,59,96,9
9,13,2014,7.222222222,17.77777778,43,100,2
9,14,2014,12.22222222,22.77777778,53,89,6
9,15,2014,10,21.11111111,61,96,6
9,16,2014,13.33333333,21.66666667,53,90,5
9,17,2014,13.33333333,23.33333333,59,90,6
