Date	 THigh    	TLow    	RelHum	SoilTemp	WindSpeed	SolarRad	Precip	ET	
1/1/2012	41.25	24.926	44.893	33.914	12.695	189.19	0	0.135	 
1/2/2012	32.862	9.32	50.96	32.393	7.293	205.438	0	0.068	 
1/3/2012	50.36	10.148	54.075	31.278	8.57	157.373	0	0.12	 
1/4/2012	58.172	26.467	49.712	31.768	6.434	167.983	0	0.116	 
1/5/2012	67.838	24.463	49.068	32.237	5.329	179.624	0	0.134	 
1/6/2012	51.296	29.302	52.686	33.774	8.18	93.194	0	0.109	 
1/7/2012	42.435	17.834	67.36	33.135	2.495	115.219	0	0.031	 
1/8/2012	46.58	21.857	71.963	33.49	2.663	122.793	0	0.034	 
1/9/2012	53.078	20.908	61.58	33.06	4.435	189.878	0	0.071	 
1/10/2012	62.78	20.793	60.883	33.488	4.03	189.232	0	0.089	 
1/11/2012	38.194	19.605	75.266	33.242	18.143	33.999	0	0.056	 
1/12/2012	20.316	9.788	71.096	32.183	15.061	63.147	0	0.038	 
1/13/2012	32.27	4.586	53.268	30.878	5.395	201.549	0	0.056	 
1/14/2012	45.032	20.433	52.61	31.188	5.806	191.414	0	0.081	 
1/15/2012	55.328	21.979	48.983	31.314	8.715	203.433	0	0.146	 
1/16/2012	39.25	19.13	63.771	31.658	12.591	204.844	0	0.088	 
1/17/2012	24.579	3.272	70.815	30.879	11.401	229.898	0	0.053	 
1/18/2012	41.254	4.928	64.585	30.138	11.385	205.235	0	0.108	 
1/19/2012	14.63	3.398	56.368	28.989	9.867	227.098	0	0.045	 
1/20/2012	24.215	5.162	60.718	28.8	9.231	196.36	0	0.054	 
1/21/2012	23.279	3.74	77.957	28.645	10.877	94.511	0	0.037	 
1/22/2012	45.986	22.449	80.534	30.388	10.701	66.433	0	0.06	 
1/23/2012	31.676	7.178	84.38	31.368	8.581	101.931	0	0.037	 
1/24/2012	34.156	3.992	88.376	31.301	4.066	123.817	0	0.026	 
1/25/2012	37.11	19.958	93.906	31.438	4.048	156.277	0	0.016	 
1/26/2012	47.624	16.754	69.101	31.618	7.561	230.906	0	0.086	 
1/27/2012	44.798	21.63	69.95	31.689	6.472	82.616	0	0.058	 
1/28/2012	46.112	18.176	41.771	31.603	7.409	235.606	0	0.122	 
1/29/2012	41.842	13.46	47.429	31.068	5.635	142.832	0	0.078	 
1/30/2012	70.808	33.445	32.111	31.578	8.689	232.843	0	0.246	 
1/31/2012	60.764	23.742	57.236	31.698	6.621	233.303	0	0.129	 
2/1/2012	61.826	18.194	47.925	31.751	3.689	197.839	0	0.108	 
2/2/2012	54.86	18.32	58.076	31.824	4.28	150.802	0	0.084	 
2/3/2012	48.596	31.905	79.701	32.849	10.605	18.938	0.543	0.056	 
2/4/2012	32.509	28.243	97.472	33.026	13.082	152.661	0.636	0.013	 
2/5/2012	28.719	9.068	95.446	32.959	5.001	241.334	0	0.022	 
2/6/2012	38.408	0.896	87.203	33.044	2.666	270.945	0	0.039	 
2/7/2012	32.036	23.628	89.03	33.107	12.572	105.23	0	0.027	 
2/8/2012	30.022	18.536	83.258	33.16	4.06	209.703	0	0.027	 
2/9/2012	34.498	21.027	88.376	33.192	6.983	220.944	0	0.033	 
2/10/2012	27.77	-0.04	69.457	33.112	15.351	328.883	0	0.075	 
2/11/2012	15.224	-4.18	66.056	32.747	5.906	334.79	0	0.031	 
2/12/2012	28.719	-9.04	70.364	32.597	5.851	305.838	0	0.055	 
2/13/2012	31.905	13.568	95.719	32.558	6.297	107.326	0	0.017	 
2/14/2012	37.935	8.258	88.043	32.58	4.149	294.383	0	0.043	 
2/15/2012	40.42	15.116	90.341	32.609	4.971	258.602	0	0.04	 
2/16/2012	42.071	17.474	72.784	32.663	4.518	308.056	0	0.061	 
2/17/2012	40.185	21.85	74.599	32.793	6.655	312.442	0	0.066	 
2/18/2012	41.367	14.036	72.6	32.896	2.579	321.474	0	0.053	 
2/19/2012	41.25	14.756	80.119	32.838	5.887	305.076	0	0.061	 
2/20/2012	40.188	32.972	89.192	32.8	11.181	17.916	0.254	0.023	 
2/21/2012	45.5	32.272	74.227	32.829	7.058	274.445	0	0.076	 
2/22/2012	53.204	31.678	73.272	35.997	4.494	227.971	0	0.07	 
2/23/2012	46.346	30.141	88.721	37.722	10.919	66.422	0	0.038	 
2/24/2012	42.672	24.571	72.598	36.079	10.354	277.607	0	0.094	 
2/25/2012	37.816	15.458	64.325	33.751	10.239	350.724	0	0.102	 
2/26/2012	53.312	26.229	52.39	35.826	8.761	301.801	0	0.155	 
2/27/2012	39.236	17.6	59.891	35.185	6.821	355.856	0	0.092	 
2/28/2012	54.626	33.8	81.585	37.354	11.435	49.332	0.278	0.071	 
2/29/2012	42.066	23.04	73.351	37.141	13.278	231.565	0	0.094	 
3/1/2012	51.422	19.148	79.631	36.19	6.789	305.996	0	0.09	 
3/2/2012	47.642	28.6	63.918	37.546	10.635	289.642	0	0.13	 
3/3/2012	41.724	22.676	60.089	36.092	7.711	344.087	0	0.109	 
3/4/2012	53.546	18.068	67.886	36.446	9.375	281.992	0	0.137	 
3/5/2012	60.764	17.834	52.647	37.011	9.57	358.267	0	0.213	 
3/6/2012	71.042	36.986	46.052	42.288	15.574	305.354	0	0.281	 
3/7/2012	60.764	30.02	72.599	44.299	16.672	87.671	0	0.128	 
