23370753,434353,408958
23375374,268738,258379
23391879,53663,50137
23647432,50550,48520
48651494,32174,30787
48651495,26340,26397
48651496,25093,24907
48651497,24534,24733
48651498,24523,24210
48651499,22533,22111
48651500,21921,18894
48651501,17562,15758
48651502,15023,15039
48651503,13424,13353
48651504,12157,12459
48651505,10204,10230
48651506,8498,8491
48651507,8480,8500
48651967,7990,7990
48651968,7961,7766
48651969,7697,7698
48651970,7255,7289
48651971,7220,5943
48651972,7135,6960
48651973,7120,6964
48651974,6829,6757
48651975,6467,6502
48651976,6143,6211
48651977,5787,5851
48651978,5584,4441
48651979,5543,5660
48651980,5527,5495
48651981,4606,4737
48651982,4512,4508
48651983,4465,4479
48651984,4216,4325
48651985,3934,3977
48651986,3927,3942
48651987,3700,3705
48651988,3634,3277
48651989,3558,3574
48651990,3491,3559
48651991,3385,3460
48651992,3310,3364
48651993,2986,2923
48651994,2921,2934
48652024,2900,2906
48652025,2789,2737
48652026,2513,2453
48652027,2425,2496
48652028,2398,2438
48652029,2322,2290
48652030,2191,2090
48652031,2152,2217
48652032,2091,2071
48652033,2078,2112
48652034,2003,1875
