month,day,year,hour,THigh,TLow,RelHum,SoilTemp,WindSpeed,SolarRad,Precip,ET
1,1,1990,2400,3.133,-13.9,74.143,3.277,3.705,8.756,0,1.52
1,2,1990,2400,10.612,-7.429,69.735,3.565,3.599,8.604,0,2.201
1,3,1990,2400,7.202,-6.389,81.91,4.687,4.283,7.684,0,1.418
1,4,1990,2400,6.702,-7.109,70.676,4.996,2.924,9.03,0,1.42
1,5,1990,2400,8.662,-8.469,67.235,4.48,3.158,8.737,0,1.965
1,6,1990,2400,8.702,-11.099,77.192,4.206,3.294,9.025,0,1.723
1,7,1990,2400,12.772,-7.509,70.413,4.528,2.268,9.078,0,1.838
1,8,1990,2400,11.222,-4.669,69.336,5.11,3.433,4.216,0,1.984
1,9,1990,2400,10.052,-4.869,74.705,5.557,4.354,8.384,0,2.064
1,10,1990,2400,22.043,-4.439,58.033,6.438,2.968,9.326,0,3.991
1,11,1990,2400,6.741,-2.079,44.951,6.683,6.933,9.232,0,3.733
1,12,1990,2400,1.864,-13.1,48.389,6.692,5.343,9.696,0,2.792
1,13,1990,2400,7.402,-14.2,49.79,5.644,4.567,8.883,0,3.36
1,14,1990,2400,15.183,-3.779,46.759,5.41,1.818,8.685,0,2.463
1,15,1990,2400,15.603,-5.729,67.842,6.025,1.324,7.209,0,1.59
1,16,1990,2400,11.992,-0.092,83.979,6.809,2.769,6.777,0,1.155
1,17,1990,2400,6.233,-1.739,81.68,7.222,3.566,4.279,0,0.98
1,18,1990,2400,4.64,-7.429,71.748,7.644,2.966,7.098,0,1.288
1,19,1990,2400,0.865,-8.389,72.499,7.297,2.914,2.048,8.185,0.915
1,20,1990,2400,-1.049,-10.299,87.923,7.069,4.117,3.935,0,0.646
1,21,1990,2400,2.71,-16.1,79.479,7.085,2.214,10.106,0,1.15
1,22,1990,2400,11.102,-7.269,75.091,7.073,1.829,10.515,0,1.511
1,23,1990,2400,8.542,-3.389,75.486,6.992,3.345,10.45,0,1.683
1,24,1990,2400,3.249,-6.469,85.779,6.896,4.279,4.866,0,0.885
1,25,1990,2400,5.183,-8.599,77.799,6.689,2.987,10.504,0,1.344
1,26,1990,2400,12.112,-3.859,71.04,6.531,3.472,10.465,0,2.32
1,27,1990,2400,3.519,-4.399,68.406,6.848,5.307,10.315,0,2.065
1,28,1990,2400,7.442,-5.529,56.736,6.588,4.461,11.553,0,3.049
