AnimalID,Lat,Long
Kill_1,-22.354805,29.067997
Kill_2,-22.298632,29.081531
Kill_3,-22.361036,29.076149
Kill_4,-22.342474,29.166944
Kill_5,-22.328353,29.176185
Kill_6,-22.391149,29.096338
Kill_7,-22.389448,29.193257
Kill_8,-22.348835,29.159088
Kill_9,-22.34704,29.172717
Kill_10,-22.278123,29.101847
Kill_11,-22.300752,29.158616
Kill_12,-22.293516,29.113875
Kill_13,-22.141865,29.127115
Kill_14,-22.223547,29.029913
Kill_15,-22.259952,28.990962
Kill_16,-22.279732,28.996602
Kill_17,-22.270589,28.999343
Kill_18,-22.349658,29.075704
Kill_19,-22.259952,28.990962
Kill_20,-22.261814,29.008784
Kill_21,-22.326274,29.182244
Kill_22,-22.317375,29.199313
Kill_23,-22.372646,29.174646
Kill_24,-22.327136,29.275237
Kill_25,-22.341677,29.203065
Kill_26,-22.323093,29.222123
Kill_27,-22.33195,29.162487
Kill_28,-22.357117,29.06862
Kill_29,-22.370258,29.061972
Kill_30,-22.354856,29.068092
Kill_31,-22.322335,29.064678
Kill_32,-22.291649,29.069348
Kill_33,-22.291574,29.069423
Kill_34,-22.289958,29.122152
Kill_35,-22.298958,29.08129
Kill_36,-22.298632,29.081531
Kill_37,-22.298998,29.081056
Kill_38,-22.287764,29.119937
Kill_39,-22.349414,29.075323
Kill_40,-22.361191,29.07751
Kill_41,-22.327806,29.187418
Kill_42,-22.3253,29.183184
Kill_43,-22.327827,29.197449
Kill_44,-22.33723,29.178363
Kill_45,-22.327255,29.18376
Kill_46,-22.353455,29.166017
Kill_47,-22.326799,29.183127
Kill_48,-22.326712,29.182907
Kill_49,-22.335614,29.17209
Kill_50,-22.385224,29.06842
Kill_51,-22.39082,29.09783
Kill_52,-22.365097,29.093512
Kill_53,-22.336288,29.122831
Kill_54,-22.321118,29.197506
Kill_55,-22.329451,29.174376
Kill_56,-22.333738,29.180427
Kill_57,-22.343611,29.172603
Kill_58,-22.339914,29.169549
Kill_59,-22.348846,29.166016
Kill_60,-22.348853,29.165997
Kill_61,-22.370365,29.167818
Kill_62,-22.389226,29.193479
Kill_63,-22.389426,29.193337
Kill_64,-22.346065,29.111557
Kill_65,-22.338896,29.099782
Kill_66,-22.360228,29.075977
Kill_67,-22.357112,29.142494
Kill_68,-22.345719,29.128184
Kill_69,-22.354925,29.136588
Kill_70,-22.335174,29.074423
Kill_71,-22.318212,29.200659
Kill_72,-22.338713,29.193547
Kill_73,-22.353749,29.165488
Kill_74,-22.347093,29.172701
Kill_75,-22.345307,29.173128
Kill_76,-22.346058,29.153984
Kill_77,-22.320824,29.11514
Kill_78,-22.327527,29.08362
Kill_79,-22.29127,29.080119
Kill_80,-22.324273,29.09477
Kill_81,-22.325885,29.090173
Kill_82,-22.318553,29.105435
Kill_83,-22.337164,29.141077
Kill_84,-22.345567,29.136576
Kill_85,-22.346664,29.145688
Kill_86,-22.353627,29.123762
Kill_87,-22.348283,29.097588
Kill_88,-22.308527,29.076541
Kill_89,-22.329644,29.137544
Kill_90,-22.346767,29.189392
Kill_91,-22.327202,29.144064
Kill_92,-22.302496,29.108352
Kill_93,-22.289421,29.123085
Kill_94,-22.283187,29.096173
Kill_95,-22.278162,29.100965
Kill_96,-22.278074,29.101803
Kill_97,-22.282872,29.108687
Kill_98,-22.32865,29.135347
Kill_99,-22.328681,29.135426
Kill_100,-22.343268,29.087449
Kill_101,-22.289566,29.104915
Kill_102,-22.290494,29.12411
Kill_103,-22.296443,29.146125
Kill_104,-22.286941,29.109421
Kill_105,-22.309727,29.156618
Kill_106,-22.312182,29.13267
Kill_107,-22.305418,29.106504
Kill_108,-22.302764,29.163182
Kill_109,-22.302857,29.163155
Kill_110,-22.29924,29.152593
Kill_111,-22.290659,29.10772
Kill_112,-22.322782,29.133775
Kill_113,-22.29364,29.176755
Kill_114,-22.292934,29.17633
Kill_115,-22.294582,29.072648
Kill_116,-22.322478,29.1341
Kill_117,-22.291006,29.112633
Kill_118,-22.32258,29.074419
Kill_119,-22.323448,29.074085
Kill_120,-22.33323,29.095422
Kill_121,-22.288996,29.116155
Kill_122,-22.376566,29.148263
Kill_123,-22.376543,29.148269
Kill_124,-22.37654,29.148215
Kill_125,-22.376531,29.148271
Kill_126,-22.376551,29.14838
Kill_127,-22.376624,29.14836
Kill_128,-22.37654,29.148306
Kill_129,-22.376559,29.148333
Kill_130,-22.376536,29.148309
Kill_131,-22.376554,29.148322
Kill_132,-22.194682,29.439628
Kill_133,-22.192192,29.441337
Kill_134,-22.217773,29.454828
Kill_135,-22.19928,29.442373
Kill_136,-22.191754,29.439677
Kill_137,-22.196238,29.439945
Kill_138,-22.198541,29.443783
Kill_139,-22.198012,29.441384
