Date	 THigh    	TLow    	RelHum	SoilTemp	WindSpeed	SolarRad	Precip	ET	
5/1/2012	84.398	55.796	72.117	64.207	12.195	464.912	0.32	0.285	 
5/2/2012	83.336	60.872	81.292	67.857	7.449	428.077	0.05	0.194	 
5/3/2012	83.336	59.81	80.716	69.99	5.663	436.448	0.5	0.184	 
5/4/2012	88.664	62.528	80.166	71.03	6.239	386.83	0	0.191	 
5/5/2012	93.632	68.45	69.644	73.084	9.766	536.901	0	0.323	 
5/6/2012	74.714	56.624	82.875	69.509	13.515	306.363	0.98	0.16	 
5/7/2012	69.152	47.516	59.655	65.683	9.393	485.386	0	0.249	 
5/8/2012	67.28	45.284	55.05	62.626	7.829	448.604	0	0.227	 
5/9/2012	69.386	42.082	60.292	62.66	4.815	575.615	0	0.214	 
5/10/2012	86.882	49.424	44.891	64.889	11.873	568.724	0	0.445	 
5/11/2012	74.354	51.062	50.299	66.428	12.529	471.464	0	0.327	 
5/12/2012	70.574	47.984	47.47	65.2	7.254	480.525	0	0.256	 
5/13/2012	75.542	46.454	46.704	66.268	3.397	550.541	0	0.227	 
5/14/2012	82.742	43.857	42.658	66.807	3.789	579.655	0	0.27	 
5/15/2012	87.368	52.844	33.916	68.361	9.149	572.953	0	0.429	 
5/16/2012	79.574	42.325	37.773	67.499	5.813	595.716	0	0.314	 
5/17/2012	92.444	57.704	35.321	68.435	14.201	544.356	0	0.492	 
5/18/2012	92.336	65.498	42.988	69.851	15.508	488.415	0	0.447	 
5/19/2012	86.774	57.668	61.038	69.95	11.477	312.458	0.43	0.301	 
5/20/2012	70.574	52.25	68.537	67.945	10.044	471.639	0	0.232	 
5/21/2012	77.792	43.5	47.782	66.246	5.209	583.171	0	0.273	 
5/22/2012	87.242	57.344	37.734	67.801	14.348	578.793	0	0.47	 
5/23/2012	93.272	63.248	48.62	70.294	15.032	444.226	0.66	0.418	 
5/24/2012	71.87	54.14	82.642	67.368	8.837	360.116	0	0.154	 
5/25/2012	71.51	53.906	81.829	64.68	7.865	252.252	0.02	0.122	 
5/26/2012	96.818	63.356	62.743	71.316	13.585	418.401	0	0.368	 
5/27/2012	93.272	63.59	54.437	75.99	18.122	454.762	0.13	0.396	 
5/28/2012	78.98	56.624	66.199	73.045	5.501	598.407	0.22	0.249	 
5/29/2012	76.604	53.204	51.802	70.507	7.661	590.789	0	0.302	 
5/30/2012	66.902	49.406	71.754	65.876	6.408	280.606	0.08	0.135	 
5/31/2012	62.42	43.738	82.754	61.348	10.129	297.407	0.02	0.127	 
6/1/2012	65.714	39.486	71.012	61.169	4.948	341.731	0	0.138	 
6/2/2012	82.4	48.362	49.543	67.195	5.69	609.999	0	0.302	 
6/3/2012	89.726	57.344	54.825	71.883	7.346	511.356	0	0.321	 
6/4/2012	90.428	61.232	49.993	76.05	6.65	595.996	0	0.345	 
6/5/2012	87.836	56.624	56.626	76.736	4.628	575.753	0	0.278	 
6/6/2012	87.602	57.578	52.227	76.841	5.51	518.023	0	0.286	 
6/7/2012	87.008	68.216	49.808	76.666	6.442	582.292	0	0.325	 
6/8/2012	89.258	62.78	43.745	76.584	9.189	681.507	0	0.433	 
6/9/2012	92.21	63.356	42.714	76.998	11.918	702.495	0	0.509	 
6/10/2012	89.258	62.78	64.719	76.675	10.121	405.386	0.05	0.296	 
