Date	 THigh    	TLow    	RelHum	SoilTemp	WindSpeed	SolarRad	Precip	ET	
6/11/2012	82.04	53.312	54.875	73.817	6.85	717.259	0	0.335	 
6/12/2012	77.324	49.064	52.605	73.539	4.71	617.21	0	0.262	 
6/13/2012	87.71	58.982	47.444	74.365	10.899	570.422	0	0.419	 
6/14/2012	91.022	63.608	68.231	75.541	10.359	458.441	1.44	0.308	 
6/15/2012	73.418	60.53	91.363	69.534	5.64	193.995	0.55	0.072	 
6/16/2012	81.086	58.64	85.815	70.023	3.734	395.003	0.13	0.145	 
6/17/2012	90.554	60.422	72.052	72.792	9.123	651.81	0	0.335	 
6/18/2012	93.488	75.776	61.828	78.36	10.935	691.13	0	0.418	 
6/19/2012	91.382	75.074	62.378	80.656	13.455	680.531	0	0.411	 
6/20/2012	82.526	58.298	79.589	75.811	9.468	185.553	1.31	0.149	 
6/21/2012	80.15	56.75	70.943	71.665	4.416	727.184	0.01	0.264	 
6/22/2012	83.444	54.374	67.392	74.122	5.096	697.189	0	0.28	 
6/23/2012	84.164	60.998	77.962	73.886	10.251	557.545	0.37	0.269	 
6/24/2012	90.086	70.34	76.554	78.766	5.53	649.114	0	0.275	 
6/25/2012	85.586	70.214	77.74	80.429	7.896	468.182	0	0.225	 
6/26/2012	86.774	65.03	66.635	79.349	9.156	671.442	0	0.338	 
6/27/2012	97.394	75.668	64.845	83.319	6.36	677.77	0	0.348	 
6/28/2012	93.164	72.824	80.384	84.884	4.261	496.424	0	0.215	 
6/29/2012	88.448	72.104	74.204	83.058	5.07	431.258	0.02	0.203	 
6/30/2012	91.616	65.732	78.352	82.93	3.851	547.466	0	0.226	 
7/1/2012	91.022	68.216	73.595	83.967	4.1	583.258	0	0.247	 
7/2/2012	91.976	70.106	67.191	84.81	4.706	637.438	0	0.287	 
7/3/2012	95.414	70.826	65.302	85.414	4.973	635.284	0	0.305	 
7/4/2012	94.46	76.496	58.118	86.181	5.436	644.681	0	0.33	 
7/5/2012	96.584	76.136	56.154	87.454	4.873	640.15	0	0.329	 
7/6/2012	99.068	69.278	60.201	87.581	3.763	658.445	0	0.314	 
7/7/2012	86.072	70.7	79.555	85.14	5.05	483.924	0	0.203	 
7/8/2012	84.902	68.342	65.789	82.625	5.476	421.103	0	0.217	 
7/9/2012	88.07	64.328	62.378	83.827	3.891	671.119	0	0.281	 
7/10/2012	84.776	57.452	60.677	82.861	3.83	679.433	0	0.274	 
7/11/2012	87.836	57.11	65.764	82.011	2.71	633.634	0	0.247	 
7/12/2012	93.272	59.126	65.848	83.374	2.602	634.141	0	0.261	 
7/13/2012	94.82	67.622	62.865	85.636	2.573	614.087	0	0.264	 
7/14/2012	96.836	63.374	63.089	85.387	2.662	597.93	0	0.266	 
7/15/2012	96.584	65.03	59.554	85.457	4.39	632.038	0	0.311	 
7/16/2012	93.632	64.688	59.125	85.62	4.272	650.649	0	0.305	 
7/17/2012	97.412	67.514	59.258	86.334	3.652	612.185	0	0.295	 
7/18/2012	98.6	71.654	58.564	87.505	3.384	585.211	0	0.286	 
7/19/2012	98.24	68.108	62.437	88.011	2.815	655.095	0	0.291	 
7/20/2012	95.162	68.342	65.429	87.318	4.019	638.347	0	0.291	 
7/21/2012	96.836	66.92	57.692	85.987	4.346	572.556	0	0.296	 
7/22/2012	102.632	66.218	47.384	86.331	4.717	623.811	0	0.331	 
7/23/2012	101.804	67.514	50.464	87.24	3.466	624.629	0	0.308	 
7/24/2012	101.444	72.95	46.727	87.96	4.869	620.944	0	0.329	 
7/25/2012	101.804	74.012	48.463	89.413	6.801	617.088	0.1	0.365	 
7/26/2012	96.944	68.45	58.973	86.962	4.45	640.312	0	0.316	 
7/27/2012	86.198	60.188	62.365	83.818	4.059	649.418	0	0.271	 
7/28/2012	89.51	61.61	58.039	82.003	6.909	480.785	0	0.29	 
7/29/2012	98.132	64.562	56.688	84.927	3.526	626.96	0	0.302	 
7/30/2012	98.132	66.2	57.271	86.783	3.199	528.357	0	0.266	 
7/31/2012	98.24	62.798	58.301	86.398	2.914	605.946	0	0.282	 
8/1/2012	98.834	66.452	55.24	86.809	3.892	585.066	0	0.301	 
8/2/2012	93.272	68.81	65.452	86.734	3.725	589.033	0.03	0.265	 
8/3/2012	97.178	66.2	59.495	87.027	3.769	568.527	0	0.281	 
8/4/2012	81.464	58.874	65.57	82.373	6.035	446.091	0.04	0.221	 
8/5/2012	85.244	54.392	61.908	80.465	3.323	631.738	0	0.251	 
8/6/2012	96.836	54.626	44.818	82.148	4.199	620.466	0	0.329	 
8/7/2012	102.146	62.798	46.467	85.157	4.095	592.737	0	0.308	 
8/8/2012	97.178	67.028	56.858	85.647	3.683	500.315	0	0.263	 
8/9/2012	86.558	59.468	62.116	83.258	5.063	573.691	0	0.264	 
8/10/2012	80.87	51.674	63.197	81.139	3.568	623.847	0	0.236	 
8/11/2012	82.292	48.002	63.461	77.923	3.912	443.475	0.02	0.201	 
8/12/2012	82.058	63.014	67.736	78.16	6.16	442.878	0	0.217	 
8/13/2012	79.916	54.968	68.939	77.85	4.742	435.872	0	0.191	 
8/14/2012	87.116	49.19	62.357	77.724	4.549	542.018	0	0.253	 
8/15/2012	93.866	57.704	59.755	79.535	6.03	544.649	0	0.305	 
8/16/2012	75.776	49.19	57.078	78.697	6.65	481.852	0	0.239	 
8/17/2012	79.916	45.392	52.267	76.132	3.249	625.062	0	0.241	 
8/18/2012	73.76	43.628	77.095	69.792	4.192	252.699	0.13	0.115	 
8/19/2012	81.212	44.33	61.978	70.99	2.796	598.378	0	0.219	 
8/20/2012	88.664	46.22	49.594	74.023	3.376	564.276	0	0.261	 
8/21/2012	94.46	50.252	47.572	76.664	3.68	586.298	0	0.295	 
8/22/2012	93.038	52.142	46.019	77.058	5.171	508.24	0	0.307	 
8/23/2012	93.758	66.686	47.626	78.002	6.319	425.975	0	0.3	 
8/24/2012	80.87	65.264	84.948	75.371	5.638	173.689	0.17	0.09	 
8/25/2012	73.886	64.202	91.249	71.728	3.848	86.29	0.5	0.036	 
8/26/2012	83.21	63.716	82.975	73.428	2.715	235.504	0	0.097	 
8/27/2012	92.894	56.624	64.898	75.197	3.015	533.912	0	0.233	 
8/28/2012	96.566	59.702	50.195	76.743	4.97	536.999	0	0.307	 
8/29/2012	98.474	61.25	43.678	77.262	6.096	532.861	0	0.333	 
8/30/2012	100.112	62.546	43.854	78.613	5.124	538.415	0	0.308	 
8/31/2012	97.538	56.156	55.636	78.874	3.793	511.687	0	0.27	 
